movie,production_budget,domestic_gross_x,foreign_gross_x,year_x,title,domestic_gross_y,foreign_gross_y,year_y
Horrible Bosses,35000000,117538559,212417601,2011,Horrible Bosses,117500000.0,92100000,2011
Monte Carlo,20000000,23186769,39686769,2011,Monte Carlo,23200000.0,16500000,2011
Larry Crowne,30000000,35608245,61449135,2011,Larry Crowne,35600000.0,36400000,2011
Transformers: Dark of the Moon,195000000,352390543,1123790543,2011,Transformers: Dark of the Moon,352400000.0,771400000,2011
Bad Teacher,19000000,100292856,215448997,2011,Bad Teacher,100300000.0,115900000,2011
Cars 2,200000000,191450875,560155383,2011,Cars 2,191500000.0,370700000,2011
Green Lantern,200000000,116601172,219535492,2011,Green Lantern,116600000.0,103300000,2011
Super 8,50000000,127004179,257972745,2011,Super 8,127000000.0,133100000,2011
Beginners,3200000,5790894,14314407,2011,Beginners,5800000.0,8500000,2011
Submarine,1900000,467602,4581937,2011,Submarine,468000.0,397000,2011
X-Men: First Class,160000000,146408305,355408305,2011,X-Men: First Class,146400000.0,207200000,2011
The Tree of Life,35000000,13305665,61721826,2011,The Tree of Life,13300000.0,41000000,2011
The Hangover Part II,80000000,254464305,586464305,2011,The Hangover Part II,254500000.0,332300000,2011
Kung Fu Panda 2,150000000,165249063,664837547,2011,Kung Fu Panda 2,165200000.0,500400000,2011
Midnight in Paris,30000000,56816662,162502774,2011,Midnight in Paris,56800000.0,94300000,2011
Pirates of the Caribbean: On Stranger Tides,410600000,241063875,1045663875,2011,Pirates of the Caribbean: On Stranger Tides,241100000.0,804600000,2011
Priest,60000000,29136626,84154026,2011,Priest,29100000.0,49200000,2011
Bridesmaids,32500000,169211718,289632023,2011,Bridesmaids,169100000.0,119300000,2011
Something Borrowed,35000000,39046489,65084116,2011,Something Borrowed,39000000.0,21100000,2011
Jumping the Broom,7000000,37295394,38158601,2011,Jumping the Broom,37300000.0,415000,2011
Thor,150000000,181030624,449326618,2011,Thor,181000000.0,268300000,2011
The Beaver,21000000,970816,5046038,2011,The Beaver,971000.0,6300000,2011
Dylan Dog: Dead of Night,20000000,1186538,6093725,2011,Dylan Dog: Dead of Night,1200000.0,3400000,2011
Fast Five,125000000,210031325,630163454,2011,Fast Five,209800000.0,416300000,2011
Water for Elephants,38000000,58709717,116809717,2011,Water for Elephants,58700000.0,58400000,2011
Scream 4,40000000,38180928,95989590,2011,Scream 4,38200000.0,59000000,2011
Rio,90000000,143619809,487519809,2011,Rio,143600000.0,341000000,2011
The Conspirator,25000000,11538204,15907411,2011,The Conspirator,11500000.0,3900000,2011
Your Highness,50000000,21596445,26121638,2011,Your Highness,21600000.0,3300000,2011
Soul Surfer,18000000,43853424,47158652,2011,Soul Surfer,43900000.0,3200000,2011
Hanna,30000000,40259119,65343694,2011,Hanna,40300000.0,23500000,2011
Source Code,32000000,54712227,140428499,2011,Source Code,54700000.0,92600000,2011
The Last Godfather,13400000,164247,164247,2011,The Last Godfather,164000.0,16600000,2011
Hop,63000000,108085305,188657593,2011,Hop,108100000.0,75900000,2011
Insidious,1500000,54009150,99870886,2011,Insidious,54000000.0,43000000,2011
Sucker Punch,75000000,36392502,89758389,2011,Sucker Punch,36400000.0,53400000,2011
Diary of a Wimpy Kid: Rodrick Rules,18000000,52698535,73695194,2011,Diary of a Wimpy Kid: Rodrick Rules,52700000.0,19700000,2011
Limitless,27000000,79249455,155564919,2011,Limitless,79200000.0,82600000,2011
Winter in Wartime,5800000,542860,9662214,2011,Winter in Wartime,543000.0,8700000,2011
Paul,40000000,37412945,101162106,2011,Paul,37400000.0,60600000,2011
The Lincoln Lawyer,40000000,58009200,87145086,2011,The Lincoln Lawyer,58000000.0,17000000,2011
Red Riding Hood,42000000,37662162,91678442,2011,Red Riding Hood,37700000.0,51500000,2011
Mars Needs Moms,150000000,21392758,39549758,2011,Mars Needs Moms,21400000.0,17600000,2011
Battle: Los Angeles,70000000,83552429,213463976,2011,Battle: Los Angeles,83600000.0,128300000,2011
Beastly,17000000,27865571,38028230,2011,Beastly,27900000.0,15300000,2011
Rango,135000000,123477607,245724600,2011,Rango,123500000.0,122200000,2011
The Adjustment Bureau,50200000,62495645,126931325,2011,The Adjustment Bureau,62500000.0,65400000,2011
Hall Pass,68000000,45060734,87173475,2011,Hall Pass,45100000.0,38100000,2011
Drive Angry,50000000,10721033,41042583,2011,Drive Angry,10700000.0,18200000,2011
Unknown,40000000,63686397,136123083,2011,Unknown,63700000.0,67099999,2011
Unknown,3700000,26403,3355048,2006,Unknown,63700000.0,67099999,2011
"Big Mommas: Like Father, Like Son",32000000,37915414,82332450,2011,"Big Mommas: Like Father, Like Son",37900000.0,44800000,2011
Justin Bieber: Never Say Never,13000000,73013910,99034125,2011,Justin Bieber: Never Say Never,73000000.0,26000000,2011
The Eagle,25000000,19490041,38993548,2011,The Eagle,19500000.0,7600000,2011
Just Go With It,80000000,103028109,214974953,2011,Just Go With It,103000000.0,111900000,2011
Gnomeo and Juliet,36000000,99967670,193737977,2011,Gnomeo and Juliet,100000000.0,94000000,2011
Sanctum,30000000,23209310,108957098,2011,Sanctum,23200000.0,85400000,2011
The Roommate,16000000,37300107,52545707,2011,The Roommate,37300000.0,3200000,2011
The Rite,37000000,33047633,97143987,2011,The Rite,33000000.0,63000000,2011
Biutiful,35000000,5101237,24687524,2011,Biutiful,5100000.0,20000000,2011
The Mechanic,42500000,29121498,76347393,2011,The Mechanic,29100000.0,47000000,2011
No Strings Attached,25000000,70662220,149228078,2011,No Strings Attached,70700000.0,78600000,2011
The Green Hornet,110000000,98780042,229155503,2011,The Green Hornet,98800000.0,129000000,2011
The Dilemma,70000000,48475290,70546865,2011,The Dilemma,48500000.0,21200000,2011
Season of the Witch,40000000,24827228,91126600,2011,Season of the Witch,24800000.0,66800000,2011
Blue Valentine,1000000,9737892,16566240,2010,Blue Valentine,9700000.0,2600000,2010
Another Year,8000000,3205706,20005613,2010,Another Year,3200000.0,16500000,2010
Gulliver's Travels,112000000,42779261,232017848,2010,Gulliver's Travels,42800000.0,194600000,2010
Little Fockers,100000000,148438600,310650574,2010,Little Fockers,148400000.0,162200000,2010
True Grit,35000000,171243005,252276928,2010,True Grit,171200000.0,81000000,2010
